left_elbow_angle_period,right_elbow_angle_period,left_wrist_angle_period,right_wrist_angle_period,left_shoulder_angle_period,right_shoulder_angle_period,hip_angle_period,waist_angle_period,left_knee_angle_period,right_knee_angle_period,left_ankle_angle_period,right_ankle_angle_period,left_elbow_angle_power,right_elbow_angle_power,left_wrist_angle_power,right_wrist_angle_power,left_shoulder_angle_power,right_shoulder_angle_power,hip_angle_power,waist_angle_power,left_knee_angle_power,right_knee_angle_power,left_ankle_angle_power,right_ankle_angle_power
180.0,180.0,60.0,180.0,180.0,180.0,60.0,60.0,180.0,180.0,60.0,36.0,321375.04902467015,118454.42536172511,8294.823738348014,4208.713283330746,229467.65218124518,89954.0861195443,245.8682208131511,110.78518574450781,3397.1281195259485,13452.299540434342,2577.62007594302,2698.589280770004
180.0,180.0,36.0,180.0,180.0,180.0,180.0,90.0,180.0,180.0,60.0,180.0,227453.83998095666,248584.037062323,8404.57964986132,1820.0130639200481,144157.29134029374,177961.8584611836,1968.9777438782962,100.32651498183343,2477.202135348687,8053.418324526925,2489.452566492772,3353.0832349121943
172.0,172.0,86.0,57.333333333333336,172.0,172.0,86.0,86.0,86.0,86.0,172.0,172.0,366707.8501635945,276587.4472754669,4122.737230990898,8526.838730695888,228985.6217433384,179618.62667255843,78000.1974651864,5202.320826394558,37461.24873750764,14135.93945162724,54341.49219207876,33096.738429785815
174.0,174.0,87.0,87.0,174.0,174.0,174.0,87.0,34.8,58.0,14.5,34.8,195157.32742612317,157003.7258186735,6730.272232475677,22780.56500048142,133111.36331681669,87336.79391465832,808.4676173915607,758.0601248566496,23911.72390983922,15639.516684730219,23587.104356832224,11316.852443008807
90.0,90.0,60.0,180.0,90.0,90.0,60.0,90.0,60.0,22.5,45.0,180.0,96829.11794800984,267769.83742448775,1851.191767454672,1489.1194250161877,66926.84439393197,260686.91709722034,206.23780910975347,187.09399940305292,1908.811411863591,1920.0858410040403,7717.266459505649,9712.094322267656
180.0,180.0,36.0,180.0,180.0,180.0,180.0,90.0,180.0,60.0,180.0,180.0,289143.4133694413,333261.0093966791,1697.6800966559867,3648.894940825566,257090.49883294263,514030.2616988296,705.569432788148,594.4352544793877,40386.763986276834,2082.521905535694,4281.172715955877,22556.627717389874
180.0,180.0,180.0,45.0,180.0,180.0,90.0,180.0,180.0,90.0,180.0,180.0,255132.78826801752,395695.6875621741,4163.238409512634,2703.5538736893086,203529.69816422736,488978.58632319164,2008.4175362140973,246.6868364314551,10486.600378970368,1534.0543488064682,5207.4941480912275,13814.759230330554
180.0,180.0,180.0,90.0,180.0,180.0,90.0,180.0,180.0,180.0,180.0,180.0,212179.1234880119,311617.84818965953,1868.3509605009685,3786.4230853784065,163562.533896242,378931.5044394617,1110.2402604632325,599.2744846557898,25085.167168751075,3597.105765353851,6227.441068478939,31944.19319252041
180.0,180.0,180.0,90.0,180.0,180.0,180.0,45.0,180.0,180.0,180.0,180.0,237576.7396571883,171700.79658646596,3585.152264566007,3112.9791491893075,138860.00145099944,107153.77294056486,1002.6628733810713,30.703756899219865,3194.2798580366207,6011.882564439149,13425.548822858387,4848.659435783284
90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,180.0,180.0,180.0,45.0,275322.67778283526,171740.5046551494,1065.0718394685628,7649.97565830438,169661.1364733371,117918.85042720746,997.3438410823784,90.24101258425864,751.8482191667567,9547.374022664613,13667.763372819201,3529.529336623742
90.0,90.0,90.0,90.0,90.0,90.0,90.0,180.0,45.0,90.0,90.0,90.0,254833.453494977,166375.04405811845,2660.3704276796348,5349.156929554821,137499.98637846095,114394.66105237602,624.7265002142015,35.4371966065839,2228.4287784374837,6917.887349299424,13971.537760269277,8718.913250697444
90.0,90.0,90.0,90.0,90.0,90.0,36.0,90.0,45.0,90.0,90.0,180.0,202892.3691064326,138987.64480673216,4066.15384067476,4890.550119486135,100617.023121422,96001.37227137401,78.60603544880075,28.202199899926207,1921.1450796696065,3923.6222407768632,12317.677004967318,4980.79035935723
90.0,90.0,180.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,293030.61355120153,182892.1573672185,1957.6917864490958,3597.3956510267467,161061.09728605786,120456.1167476261,407.9787020905351,20.683589397730145,3941.7400108628553,6788.502401603348,29242.127460075273,7280.260245387524
