left_elbow_angle,right_elbow_angle,left_wrist_angle,right_wrist_angle,left_shoulder_angle,right_shoulder_angle,hip_angle,waist_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle
141.82862014186506,129.65234071580838,171.25721332133324,170.96522997303148,106.99484713792752,114.30164501390574,168.93021877517737,0.8556633765363392,139.1059115461478,118.72410497231311,75.8497151937822,129.39780597207644
141.8960897297759,130.05469636312188,159.67228706763905,170.14427350066933,105.64862965029401,116.14474496613116,169.37090017487503,0.37361755828102994,139.3563491560445,120.85842515538256,74.54899617257021,123.280017308652
140.60495563508383,132.26903396529426,153.79264406501045,171.24530406389457,110.98470819884038,118.10315953183516,169.3814328457185,0.4775529910025431,143.9722757002423,122.3986804339256,129.5761566826221,129.70455449500082
107.05024032024635,132.13726626410872,148.9915603004241,173.09293150366761,75.24591079633254,117.95403635698553,168.95879847831446,0.2377545338857213,141.2634040965542,124.41954604066122,126.48924934231425,133.90786563081076
175.88478045003353,134.6782915888066,148.7601981222574,177.37360576598454,16.682464426037367,118.25678135778293,168.8286845060825,1.258028320821561,140.08546750943592,125.23974824407183,138.29979314728993,141.6083727638967
178.67960029878842,134.29022414749957,166.20443972821025,177.37315254633873,10.302590353060564,117.8661503096969,168.8872361648281,1.3529295481584362,141.044568019871,127.05436930515596,142.0718164858879,138.37349046845432
178.5195303683379,142.33436085523945,171.52654339422708,177.41393242342735,7.963862281307956,123.60349133817503,168.86846018238438,1.5370770899452035,141.27156782941267,127.91461542799581,142.27223097230564,135.94981009188137
177.29789456248156,146.79900360838485,174.74191705285497,172.2098549599079,11.922239481435925,128.04053042011313,170.6536004087995,3.3592791525183716,142.98040300782628,130.54257885544664,153.8457023785675,139.55696548652008
162.47911035652496,147.53683197981573,166.2740555313672,171.3700188227237,132.0134918662774,128.02160929161786,171.3239759580735,3.899801342691535,144.51376157580773,131.09478165969833,157.06980177481606,142.0020539259256
165.70699040594528,152.8626043284313,158.40221244407186,169.71691186607137,139.37999431996127,132.75834402425573,171.799795886863,3.8928012631406115,143.16960310191638,130.45349233799183,151.17659084212346,145.38027016560554
165.50172997436823,155.28334549023202,162.14876386836318,167.82629108678063,143.15833583309416,135.0289714111331,171.89942575221232,4.4320229513722005,141.6683164908079,133.25695413013182,150.68043546020928,148.38577088297615
172.49868549996603,159.8460212223018,166.95312579435915,168.05193105582373,149.85962164107977,139.789249804585,172.04798474030738,5.513392713871516,141.44973381823766,134.6050411222762,153.44771804338959,143.115935012132
176.5389598891494,160.75567617247026,173.3579707553414,166.79407769087183,154.66027535356534,141.75118211754537,172.2002828506948,6.031743844181398,140.04429832442088,136.22459298464244,149.30620535295526,136.53457709577833
176.5792003191218,164.49238537299536,173.8241708642216,164.46892451814384,155.3700615286825,145.08454895916765,172.77757874597995,6.992662067963177,140.06281002003337,136.98235543187994,153.8093185271794,144.96005501917082
179.8727683927266,165.14447442128935,162.89813196176368,165.94602198013254,159.88735280295245,146.87681015589808,173.44200823054092,7.496429388466446,140.63384160294052,137.78354852687835,154.95414899780195,145.8493952024327
178.4518357665476,165.94792959747488,165.3294604361727,167.79642318226212,160.87595094135577,147.99303743495776,171.7585334440856,7.182335304429297,143.72726229610808,138.04699513992503,153.40780068171682,137.69969623007427
178.42475274625602,160.2759063865849,169.00987915936233,173.55002757966042,161.4128330323273,143.6427201610949,172.95561061690333,6.603800971182092,143.99896484206374,139.15018426842724,151.72199940276718,143.11526173961914
176.43055102331164,156.67908550637964,176.93847652945587,176.1008685473805,159.86811034979127,139.8352649682283,173.0767422164403,6.160525635495434,143.29321078390777,138.43758752408627,149.72040001999895,140.82335268822962
174.90338302056605,159.278590566833,179.96650665701364,179.24488941223927,158.45714898425845,141.6050925287377,172.65586515847528,6.389276999388697,142.2341483401714,136.47739941337653,150.6840432484037,141.08046958438104
174.23039862624734,157.9495937668298,175.47423836660565,178.8391837956544,157.59830541203763,140.25115083265447,171.6379851548202,6.271762338729877,143.64101764713672,136.47794548829717,149.23288646963752,142.90604869501163
168.73888018789356,154.08343824154502,170.02523263559578,179.02910488557023,152.52480886903152,136.25973037709701,170.87474203068388,4.98395393869516,143.72225482744568,137.10566244328803,148.41494129604925,143.2764321123185
159.9156369205081,152.84457765574635,169.10630736878753,177.31058134672583,145.90489646932198,133.85822475716157,170.14054458804506,3.41301711813634,145.18651925698907,135.04612318721283,148.24304625662538,143.71315882415252
159.81619419412058,149.90998458798492,166.26067669172815,177.06600063706048,143.2293752776452,129.40227406215539,168.75488773468678,3.0691025813947905,149.4806327798028,135.74752869575622,151.80174745114545,157.7294560910926
144.4744182917783,142.21613797780336,157.64176901711502,177.71025772467428,129.8187774864571,119.6888211518058,168.72441133001274,4.178045177657609,148.41085768977524,133.96467039546695,144.48780323032506,150.5431903890704
140.31878374073906,146.21537863934606,160.45525551740528,174.64620387241249,123.37341946349837,122.51520051126634,169.28074632099705,5.182504789517349,153.31816555226004,132.48621506088796,137.65627578796247,149.3260749752477
